arm,label,prediction_level,methodological_status,n,n_cn,n_ad,roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier_score,predicted_ad_rate,mean_score,sd_score,cn_mean_score,ad_mean_score,tn,fp,fn,tp,mean_threshold,mean_fold_score_std
locked_frozen_transfer,locked_frozen_transfer,ensemble_mean_score_majority_vote,existing_reference_result,180,90,90,0.6477777777777778,0.6678376160483931,0.5666666666666667,0.26666666666666666,0.8666666666666667,0.38095238095238093,0.25811285279728746,0.2,0.3805601726757853,0.23832019501712762,0.3179261739652383,0.44319417138633227,78,12,66,24,,
previous_adni_fitted_siemens_combat,previous_adni_fitted_siemens_combat,ensemble_mean_score_majority_vote,existing_reference_result,180,90,90,0.6460493827160495,0.6478341683402,0.5833333333333333,0.34444444444444444,0.8222222222222222,0.45255474452554745,0.2574862864089982,0.2611111111111111,0.4034252158150551,0.25211638759497956,0.3383752663502645,0.4684751652798456,74,16,59,31,,
external_dataset_combat_adni_reference,"Dataset ComBat, ADNI reference batch",ensemble_mean_score_majority_vote,,180,90,90,0.6455555555555555,0.6664168518083216,0.6111111111111112,0.4777777777777778,0.7444444444444445,0.5512820512820513,0.25131290156368435,0.36666666666666664,0.5034628928989969,0.2620574702285136,0.4364712080090084,0.5704545777889853,67,23,47,43,0.6155873658314002,0.10119610043205698
external_dataset_combat_no_reference,"Dataset ComBat, no reference batch",ensemble_mean_score_majority_vote,,180,90,90,0.6461728395061728,0.6657195899892814,0.5777777777777777,0.37777777777777777,0.7777777777777778,0.4722222222222222,0.2510618225009568,0.3,0.4545095795074531,0.255534450627627,0.3885669340579111,0.5204522249569951,70,20,56,34,0.6155873658314002,0.10518726314274546
