arm,fold,state,space,n_adni,n_oasis,n_features,w1_mean_all_features,w1_median_all_features,pca10_w1_mean,pca10_gaussian_w2
external_dataset_combat_no_reference,1,before_raw,connectivity_upper_offdiag_selected_channels,317,180,25545,0.22976697830744292,0.180453203178682,5.515799129160703,25.84047754366322
external_dataset_combat_no_reference,1,after_external_batch_combat,connectivity_upper_offdiag_selected_channels,317,180,25545,0.15295139583649753,0.1046008563055727,3.9319947474822987,19.016673964293403
external_dataset_combat_no_reference,2,before_raw,connectivity_upper_offdiag_selected_channels,317,180,25545,0.23188464013870846,0.18103387515877542,5.324833837769242,26.025064613554523
external_dataset_combat_no_reference,2,after_external_batch_combat,connectivity_upper_offdiag_selected_channels,317,180,25545,0.155341063175667,0.1042207763935144,3.983132333504352,20.243057881319213
external_dataset_combat_no_reference,3,before_raw,connectivity_upper_offdiag_selected_channels,318,180,25545,0.23082687752763276,0.180396230118132,5.251125632116944,25.225918807849403
external_dataset_combat_no_reference,3,after_external_batch_combat,connectivity_upper_offdiag_selected_channels,318,180,25545,0.1532156900848625,0.10368907027202583,3.8480057862198813,17.173334130105932
external_dataset_combat_no_reference,4,before_raw,connectivity_upper_offdiag_selected_channels,318,180,25545,0.23033701963383305,0.17968839445794915,5.280893292715488,25.636280387775017
external_dataset_combat_no_reference,4,after_external_batch_combat,connectivity_upper_offdiag_selected_channels,318,180,25545,0.1542618649980352,0.10447824493759714,4.199247090047921,19.74461268286323
external_dataset_combat_no_reference,5,before_raw,connectivity_upper_offdiag_selected_channels,318,180,25545,0.23187968484842034,0.18062788941152177,5.7487090430332595,25.352719333169677
external_dataset_combat_no_reference,5,after_external_batch_combat,connectivity_upper_offdiag_selected_channels,318,180,25545,0.15205025736640834,0.10381198725204298,4.104846536557101,18.456576014848252
external_dataset_combat_adni_reference,1,before_raw,connectivity_upper_offdiag_selected_channels,317,180,25545,0.22976697830744292,0.180453203178682,5.515799129160703,25.84047754366322
external_dataset_combat_adni_reference,1,after_external_batch_combat,connectivity_upper_offdiag_selected_channels,317,180,25545,0.12475784901322276,0.09904906542684683,4.206063228667142,20.496797987336258
external_dataset_combat_adni_reference,2,before_raw,connectivity_upper_offdiag_selected_channels,317,180,25545,0.23188464013870846,0.18103387515877542,5.324833837769242,26.025064613554523
external_dataset_combat_adni_reference,2,after_external_batch_combat,connectivity_upper_offdiag_selected_channels,317,180,25545,0.12928313969699065,0.09943999812055007,4.104882996783371,21.302291845825504
external_dataset_combat_adni_reference,3,before_raw,connectivity_upper_offdiag_selected_channels,318,180,25545,0.23082687752763276,0.180396230118132,5.251125632116944,25.225918807849403
external_dataset_combat_adni_reference,3,after_external_batch_combat,connectivity_upper_offdiag_selected_channels,318,180,25545,0.1351124830021047,0.1003678885292604,4.069678418368063,19.728050660968673
external_dataset_combat_adni_reference,4,before_raw,connectivity_upper_offdiag_selected_channels,318,180,25545,0.23033701963383305,0.17968839445794915,5.280893292715488,25.636280387775017
external_dataset_combat_adni_reference,4,after_external_batch_combat,connectivity_upper_offdiag_selected_channels,318,180,25545,0.1265585206848879,0.09918653305885575,4.1492935885787885,20.763635563196974
external_dataset_combat_adni_reference,5,before_raw,connectivity_upper_offdiag_selected_channels,318,180,25545,0.23187968484842034,0.18062788941152177,5.7487090430332595,25.352719333169677
external_dataset_combat_adni_reference,5,after_external_batch_combat,connectivity_upper_offdiag_selected_channels,318,180,25545,0.12444404171270568,0.09839880815547034,4.098359240459944,19.807095091263474
