arm,target_site,input_lineage,n,n_cn,n_ad,tn,fp,fn,tp,sensitivity,specificity,balanced_accuracy,f1,predicted_ad_rate,auc,pr_auc
locked,130,locked_original,34,21,13,19,2,7,6,0.46153846153846156,0.9047619047619048,0.6831501831501832,0.5714285714285714,0.23529411764705882,0.8351648351648352,0.7493781218781219
locked,035,locked_original,20,15,5,14,1,3,2,0.4,0.9333333333333333,0.6666666666666667,0.5,0.15,0.56,0.40555555555555556
corrected_combat,130,corrected_harmonized_input,34,21,13,19,2,7,6,0.46153846153846156,0.9047619047619048,0.6831501831501832,0.5714285714285714,0.23529411764705882,0.7985347985347986,0.7279027960475923
corrected_combat,035,corrected_harmonized_input,20,15,5,10,5,3,2,0.4,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.35,0.64,0.38796703296703294
