arm,arm_label,secondary_arm,n_subjects,n_cn,n_ad,marginal_standardized_shift,cn_shift,ad_shift,ad_minus_cn_standardized_separation,cohen_d,projected_auc,marginal_standardized_shift_ci_low_2p5,marginal_standardized_shift_ci_high_97p5,cn_shift_ci_low_2p5,cn_shift_ci_high_97p5,ad_shift_ci_low_2p5,ad_shift_ci_high_97p5,ad_minus_cn_standardized_separation_ci_low_2p5,ad_minus_cn_standardized_separation_ci_high_97p5,cohen_d_ci_low_2p5,cohen_d_ci_high_97p5,projected_auc_ci_low_2p5,projected_auc_ci_high_97p5,bootstrap_type,n_bootstrap,bootstrap_seed,raw_latent_dimensions_compared_across_folds,fold_scalar_averaging_only
locked_frozen_transfer,Locked frozen transfer,False,180,90,90,-0.9347965349458239,-1.1618190026183302,-0.7077740672733179,0.4540449353450122,0.5178041537934676,0.6371604938271606,-1.0624944158774745,-0.8089483062546746,-1.3342299012000538,-0.9839934988107634,-0.8853926273229574,-0.5283375598819606,0.200801451986391,0.7041532144028358,0.23168010500410155,0.8147143447940975,0.5546882716049383,0.7147037037037036,diagnosis-stratified subject bootstrap over OASIS subjects; paired across arms for deltas; conditional on fixed trained ensemble,10000,20260712,False,True
external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",False,180,90,90,-0.4728498957296435,-0.7197827365150951,-0.22591705494419195,0.4938656815709031,0.5193528459561186,0.6369135802469136,-0.6109265934715399,-0.33654093202154406,-0.9120614418033827,-0.527748182817168,-0.42006510343983894,-0.031713505742986314,0.21823296638416487,0.7667327573641222,0.23353620062315858,0.8183020389004008,0.555182098765432,0.7153086419753086,diagnosis-stratified subject bootstrap over OASIS subjects; paired across arms for deltas; conditional on fixed trained ensemble,10000,20260712,False,True
external_dataset_combat_no_reference,"External Dataset-ComBat, no reference (secondary)",True,180,90,90,-0.6612865006069073,-0.9014585151129323,-0.4211144861008824,0.48034402901204987,0.517120285758947,0.637037037037037,-0.7972691791938753,-0.528278435121784,-1.0861353667544602,-0.7132350579951884,-0.610392261146046,-0.23079734397678714,0.2117542424565177,0.7468355367709834,0.23107989424068529,0.8160373069792256,0.5553055555555555,0.7153086419753086,diagnosis-stratified subject bootstrap over OASIS subjects; paired across arms for deltas; conditional on fixed trained ensemble,10000,20260712,False,True
