evaluation_set,arm,label,threshold_source,prediction_rule,brier_score_note,oasis_labels_used_for_model_selection_or_calibration,n,n_cn,n_ad,roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,brier_score_descriptive,tn,fp,fn,tp,predicted_ad_rate,mean_score,roc_auc_ci_low_2p5,roc_auc_ci_high_97p5,pr_auc_ci_low_2p5,pr_auc_ci_high_97p5,balanced_accuracy_ci_low_2p5,balanced_accuracy_ci_high_97p5,sensitivity_ci_low_2p5,sensitivity_ci_high_97p5,specificity_ci_low_2p5,specificity_ci_high_97p5,brier_score_descriptive_ci_low_2p5,brier_score_descriptive_ci_high_97p5,bootstrap_type,n_bootstrap,bootstrap_seed
OASIS-current-180,locked_frozen_transfer,Locked frozen transfer,fixed_ADNI_derived_existing_prediction_threshold,stored_existing_fixed_fold_threshold_majority_vote_y_pred,"ECDF score; descriptive only, not recalibrated on OASIS",False,180,90,90,0.6477777777777778,0.6678376160483931,0.5666666666666667,0.26666666666666666,0.8666666666666667,0.25811285279728746,78,12,66,24,0.2,0.3805601726757853,0.5654320987654322,0.7254320987654321,0.5934424398007008,0.7443383246310691,0.5055555555555555,0.6222222222222222,0.17777777777777778,0.35555555555555557,0.7888888888888889,0.9333333333333333,0.226843484943361,0.29180695545566837,separate_diagnosis_stratified_subject_bootstrap,10000,20260710
OASIS-current-180,previous_adni_fitted_siemens_combat,Previous ADNI-fitted Siemens-ComBat,fixed_ADNI_derived_existing_prediction_threshold,stored_existing_fixed_fold_threshold_majority_vote_y_pred,"ECDF score; descriptive only, not recalibrated on OASIS",False,180,90,90,0.6460493827160495,0.6478341683402,0.5833333333333333,0.34444444444444444,0.8222222222222222,0.2574862864089982,74,16,59,31,0.2611111111111111,0.4034252158150551,0.5635771604938271,0.7233364197530864,0.57069091914459,0.7351662223119602,0.5166666666666667,0.6444444444444445,0.24444444444444444,0.4444444444444444,0.7444444444444445,0.9,0.22373713066051726,0.29234956442247495,separate_diagnosis_stratified_subject_bootstrap,10000,20260711
OASIS-current-180,external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",fixed_ADNI_derived_existing_prediction_threshold,stored_existing_fixed_fold_threshold_majority_vote_y_pred,"ECDF score; descriptive only, not recalibrated on OASIS",False,180,90,90,0.6455555555555555,0.6664168518083216,0.6111111111111112,0.4777777777777778,0.7444444444444445,0.25131290156368435,67,23,47,43,0.36666666666666664,0.5034628928989969,0.5650617283950617,0.7232098765432099,0.5921851661760006,0.7448788390717058,0.5444444444444444,0.6777777777777778,0.37777777777777777,0.5777777777777777,0.6555555555555556,0.8333333333333334,0.21754808952976956,0.28615845578988747,separate_diagnosis_stratified_subject_bootstrap,10000,20260712
OASIS-current-180,external_dataset_combat_no_reference,"External Dataset-ComBat, no reference",fixed_ADNI_derived_existing_prediction_threshold,stored_existing_fixed_fold_threshold_majority_vote_y_pred,"ECDF score; descriptive only, not recalibrated on OASIS",False,180,90,90,0.6461728395061728,0.6657195899892814,0.5777777777777777,0.37777777777777777,0.7777777777777778,0.2510618225009568,70,20,56,34,0.3,0.45450957950745297,0.565675925925926,0.7251882716049382,0.591643621107129,0.7459949524449181,0.5111111111111111,0.6444444444444445,0.2777777777777778,0.4777777777777778,0.6888888888888889,0.8555555555555555,0.21719863624902902,0.2856399731347607,separate_diagnosis_stratified_subject_bootstrap,10000,20260713
OASIS-strict-128,locked_frozen_transfer,Locked frozen transfer,fixed_ADNI_derived_existing_prediction_threshold,stored_existing_fixed_fold_threshold_majority_vote_y_pred,"ECDF score; descriptive only, not recalibrated on OASIS",False,128,89,39,0.7093056755978104,0.5565391027989108,0.5864304235090751,0.3076923076923077,0.8651685393258427,0.1977878096402318,77,12,27,12,0.1875,0.37134777178476946,0.6110630942091616,0.8000576202823393,0.43960074314221337,0.6840059833151076,0.5070584845865744,0.668971477960242,0.15384615384615385,0.46153846153846156,0.7865168539325843,0.9325842696629213,0.16579817214575196,0.2308727248902616,separate_diagnosis_stratified_subject_bootstrap,10000,20260810
OASIS-strict-128,previous_adni_fitted_siemens_combat,Previous ADNI-fitted Siemens-ComBat,fixed_ADNI_derived_existing_prediction_threshold,stored_existing_fixed_fold_threshold_majority_vote_y_pred,"ECDF score; descriptive only, not recalibrated on OASIS",False,128,89,39,0.6977816191299336,0.5181475443772754,0.6024200518582541,0.38461538461538464,0.8202247191011236,0.20809039950050018,73,16,24,15,0.2421875,0.39328198069041054,0.598962834917891,0.7896931719965427,0.40525603075028593,0.6623663691678784,0.5158455776433304,0.6905790838375108,0.23076923076923078,0.5384615384615384,0.7415730337078652,0.898876404494382,0.17271298103316324,0.245076450614021,separate_diagnosis_stratified_subject_bootstrap,10000,20260811
OASIS-strict-128,external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",fixed_ADNI_derived_existing_prediction_threshold,stored_existing_fixed_fold_threshold_majority_vote_y_pred,"ECDF score; descriptive only, not recalibrated on OASIS",False,128,89,39,0.7078651685393258,0.5529967585754961,0.627196773264189,0.5128205128205128,0.7415730337078652,0.23541132508578944,66,23,19,20,0.3359375,0.4940667421967444,0.607886776145203,0.7983290118121578,0.4367122301360026,0.6828496500488896,0.5365888792855085,0.7162381158167672,0.358974358974359,0.6666666666666666,0.651685393258427,0.8314606741573034,0.19784575624350612,0.2751986448518404,separate_diagnosis_stratified_subject_bootstrap,10000,20260812
OASIS-strict-128,external_dataset_combat_no_reference,"External Dataset-ComBat, no reference",fixed_ADNI_derived_existing_prediction_threshold,stored_existing_fixed_fold_threshold_majority_vote_y_pred,"ECDF score; descriptive only, not recalibrated on OASIS",False,128,89,39,0.7090175741861136,0.5610383466346404,0.618409680207433,0.46153846153846156,0.7752808988764045,0.2169938044968337,69,20,21,18,0.296875,0.44540251099939665,0.6104868913857678,0.7994814174589456,0.44364420571860713,0.6880668610727814,0.5293863439930856,0.7081532699510228,0.3076923076923077,0.6153846153846154,0.6853932584269663,0.8539325842696629,0.1814411259427535,0.25427548013402995,separate_diagnosis_stratified_subject_bootstrap,10000,20260813
