arm,n,n_cn,n_ad,roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier_score,tn,fp,fn,tp
locked,180,90,90,0.6477777777777778,0.6678376160483931,0.5666666666666667,0.26666666666666666,0.8666666666666667,0.38095238095238093,0.25811285279728746,78,12,66,24
clean_foldwise_input_combat,180,90,90,0.6460493827160495,0.6478341683402,0.5833333333333333,0.34444444444444444,0.8222222222222222,0.45255474452554745,0.2574862864089982,74,16,59,31
