metric,comparison,locked,clean_foldwise_input_combat,observed_delta,bootstrap_mean_delta,ci_low_2p5,ci_high_97p5,p_delta_gt_0,n_bootstrap,seed
roc_auc,clean_foldwise_input_combat_minus_locked,0.6477777777777778,0.6460493827160495,-0.0017283950617282828,-0.0018385802469135797,-0.02197530864197517,0.018024691358024647,0.4307,10000,20260706
pr_auc,clean_foldwise_input_combat_minus_locked,0.6678376160483931,0.6478341683402,-0.020003447708193067,-0.017476692145591805,-0.04352398341960796,0.006314477872290727,0.0819,10000,20260706
balanced_accuracy,clean_foldwise_input_combat_minus_locked,0.5666666666666667,0.5833333333333333,0.016666666666666607,0.016418888888888893,-0.022222222222222254,0.05555555555555558,0.7718,10000,20260706
sensitivity,clean_foldwise_input_combat_minus_locked,0.26666666666666666,0.34444444444444444,0.07777777777777778,0.07749444444444444,0.022222222222222254,0.13333333333333336,0.9992,10000,20260706
specificity,clean_foldwise_input_combat_minus_locked,0.8666666666666667,0.8222222222222222,-0.04444444444444451,-0.044656666666666664,-0.09999999999999998,0.0,0.0189,10000,20260706
brier_score,clean_foldwise_input_combat_minus_locked,0.25811285279728746,0.2574862864089982,-0.0006265663882892847,-0.0006093731515450746,-0.008632201914562349,0.007759162775701834,0.4355,10000,20260706
