Manufacturer,correct,mean_dist,median_dist,std_dist,n
GE,0,14.512635775974818,14.773290634155273,0.794380303690103,21
GE,1,14.82571558433004,14.80368709564209,0.7529544589501478,101
Philips,0,14.462464983870344,14.559569358825684,0.6780665151368069,41
Philips,1,14.7256721166464,14.697143077850342,0.7299020250503242,104
SIEMENS,0,14.229411456895912,14.381771087646484,0.7788004439979328,23
SIEMENS,1,14.657827858612917,14.66865062713623,0.7502924644152613,107
