manufacturer_i,manufacturer_j,n_i,n_j,euclidean_dist,cosine_dist
GE,Philips,122,145,2.8205020427703857,0.4710063934326172
GE,SIEMENS,122,130,2.5559794902801514,0.3844485878944397
Philips,SIEMENS,145,130,2.5293164253234863,0.41576582193374634
