site_i,site_j,n_i,n_j,euclidean_dist,cosine_dist
-1,10,163,2,10.738478660583496,0.7825397998094559
-1,100,163,13,5.056639671325684,0.6786498427391052
-1,11,163,12,4.706158638000488,0.6483630239963531
-1,114,163,3,8.752279281616211,0.812798261642456
-1,116,163,2,10.121431350708008,0.78304623067379
-1,12,163,2,10.31733512878418,0.8476738929748535
-1,123,163,6,7.238895893096924,0.7094182372093201
-1,126,163,2,10.642303466796875,0.8398828059434891
-1,127,163,2,9.919242858886719,0.79006128013134
-1,129,163,2,9.2133150100708,0.7617638260126114
-1,13,163,7,5.915660381317139,0.8390922844409943
-1,130,163,33,3.5227882862091064,0.5695955455303192
-1,131,163,1,15.270787239074707,0.9294217675924301
-1,135,163,6,6.138459205627441,0.6041592657566071
-1,136,163,5,6.503756046295166,0.7586576640605927
-1,14,163,18,3.816335678100586,0.5003712773323059
-1,168,163,8,5.648265361785889,0.7412007451057434
-1,177,163,6,6.596182823181152,0.6647887229919434
-1,18,163,10,4.665237903594971,0.6163878440856934
-1,19,163,12,4.84738302230835,0.6971843242645264
-1,2,163,9,5.06626558303833,0.6682455539703369
-1,22,163,1,14.808873176574707,0.8383885324001312
-1,27,163,4,7.9975152015686035,0.8530479520559311
-1,3,163,20,3.9721221923828125,0.5865293443202972
-1,301,163,4,7.8939008712768555,0.7472917139530182
-1,305,163,7,5.725765705108643,0.6089404821395874
-1,31,163,6,6.10382080078125,0.6894841194152832
-1,32,163,3,7.869495391845703,0.8486317545175552
-1,35,163,4,7.241912364959717,0.7354429960250854
-1,53,163,4,7.85181188583374,0.7168520390987396
-1,57,163,2,9.791400909423828,0.7630442380905151
-1,6,163,14,4.203758239746094,0.6726303696632385
-1,82,163,1,13.025959014892578,0.8225076347589493
-1,98,163,3,8.057731628417969,0.6669443845748901
10,100,2,13,11.247956275939941,0.8132993429899216
10,11,2,12,11.631401062011719,0.9123973250389099
10,114,2,3,12.884533882141113,0.8311550468206406
10,116,2,2,15.019400596618652,0.989458397962153
10,12,2,2,14.828438758850098,0.963451936841011
