target,k,balanced_accuracy_mean,balanced_accuracy_std,n_classes,note
manufacturer,5,0.6169713396052429,0.021916223589536446,3,
diagnosis,5,0.5122853535353535,0.009449692675643764,2,
site_top10,5,0.10698341439082178,0.004427635725796785,9,
