fold,pair,pc,w1_pc
4,Philips_vs_SIEMENS,2,1.8984978902205478
4,Philips_vs_SIEMENS,3,2.2904908495929575
4,Philips_vs_SIEMENS,4,1.4240839796841605
4,Philips_vs_SIEMENS,5,1.7841596078790156
4,Philips_vs_SIEMENS,6,1.2620509037831076
4,Philips_vs_SIEMENS,7,0.6498549328338179
4,Philips_vs_SIEMENS,8,0.690261148902636
4,Philips_vs_SIEMENS,9,0.8059416020387113
4,Philips_vs_SIEMENS,10,0.4532239904589466
5,GE_vs_Philips,1,1.9106236129037328
5,GE_vs_Philips,2,1.6866023413970503
5,GE_vs_Philips,3,1.7763222045303328
5,GE_vs_Philips,4,1.6964502748437709
5,GE_vs_Philips,5,0.9970406710037587
5,GE_vs_Philips,6,1.095479281128992
5,GE_vs_Philips,7,0.7024597868235917
5,GE_vs_Philips,8,0.691688674990118
5,GE_vs_Philips,9,0.6412499383835669
5,GE_vs_Philips,10,0.7865543975942343
5,GE_vs_SIEMENS,1,0.6459667448167663
5,GE_vs_SIEMENS,2,1.670254407456141
5,GE_vs_SIEMENS,3,1.5047992417873406
5,GE_vs_SIEMENS,4,2.07547822543283
5,GE_vs_SIEMENS,5,1.1453255368330166
5,GE_vs_SIEMENS,6,0.8360932499828937
5,GE_vs_SIEMENS,7,0.8763036109097139
5,GE_vs_SIEMENS,8,0.9497167324174302
5,GE_vs_SIEMENS,9,0.5364865888033153
5,GE_vs_SIEMENS,10,1.572668686251258
5,Philips_vs_SIEMENS,1,1.4130883816464863
5,Philips_vs_SIEMENS,2,0.45183255730900934
5,Philips_vs_SIEMENS,3,0.6397457462509687
5,Philips_vs_SIEMENS,4,0.7364890530788677
5,Philips_vs_SIEMENS,5,0.9904858895366881
5,Philips_vs_SIEMENS,6,1.4918100766387858
5,Philips_vs_SIEMENS,7,0.7106260469696208
5,Philips_vs_SIEMENS,8,1.0900489297809235
5,Philips_vs_SIEMENS,9,0.655216578070711
5,Philips_vs_SIEMENS,10,0.8450594200901665
