fold,comparison,n_adni_traindev,n_oasis,oasis_manufacturer,residualization,w1_mean_all_dims,w1_max_all_dims,w1_median_all_dims,pca10_w1_mean,gaussian_w2,lw_shrinkage_adni,lw_shrinkage_oasis
1,ADNI_trainDev_vs_OASIS,317,180,SIEMENS,y_only,0.3473746085009828,1.0520454317041985,0.30995530466326626,0.9610633074980706,11.544421239549406,0.3190708719200707,0.18873574028960646
2,ADNI_trainDev_vs_OASIS,317,180,SIEMENS,y_only,0.3597796013351598,0.8817804174299609,0.32688158678839385,0.9752745145545528,11.79057805891118,0.31202487264874673,0.17004434469650626
3,ADNI_trainDev_vs_OASIS,318,180,SIEMENS,y_only,0.34134772644472805,1.1286367996136766,0.30097624872642326,1.031765616452954,11.551306535382675,0.30914109131586237,0.1811300809652594
4,ADNI_trainDev_vs_OASIS,318,180,SIEMENS,y_only,0.3547652268676515,0.9868513620762678,0.32017167417313575,0.9521466181549423,11.608997045550906,0.294846625301459,0.1761699888501187
5,ADNI_trainDev_vs_OASIS,318,180,SIEMENS,y_only,0.36418050005482944,0.9177436530923373,0.3390712470939562,0.9949252226214993,11.881866763505359,0.32875795766564253,0.1790918454687378
