metric,locked_mean,clean_mean,mean_delta_clean_minus_locked,sd_delta,folds_closer_under_clean,folds_total,consistent_improvement_all_folds
w1_mean_all_dims,0.3534895326406703,0.35040166109926457,-0.003087871541405729,0.01139683736072723,4,5,False
pca10_w1_mean,0.9830350558564038,1.00764020357992,0.02460514772351614,0.04517819423731299,2,5,False
gaussian_w2,11.675433928579906,11.53010591667802,-0.14532801190188635,0.21330301771178795,3,5,False
