SiteCode,total_n,cn_n,ad_n,mci_n,manufacturer_n,supervised_n,supervised_cn_n,supervised_ad_n,test_n,geometry_supported,site_auc_supported,loso_supported,descriptive_supported,geometry_reason,site_auc_reason,loso_reason
023,1,1,0,0,1,1.0,1.0,0.0,1.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
024,5,3,0,2,1,3.0,3.0,0.0,3.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
027,21,13,4,4,1,17.0,13.0,4.0,17.0,True,True,False,True,supported,supported,"requires supervised CN/AD N>=20, CN>=5, AD>=5"
029,4,4,0,0,1,4.0,4.0,0.0,4.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
031,20,5,1,14,1,6.0,5.0,1.0,6.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
032,19,12,3,4,1,15.0,12.0,3.0,15.0,True,True,False,True,supported,supported,"requires supervised CN/AD N>=20, CN>=5, AD>=5"
035,32,15,5,12,1,20.0,15.0,5.0,20.0,True,True,True,True,supported,supported,supported
037,6,0,0,6,1,0.0,0.0,0.0,0.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
041,8,0,0,8,1,0.0,0.0,0.0,0.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
053,13,1,3,9,1,4.0,1.0,3.0,4.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
057,2,0,2,0,1,2.0,0.0,2.0,2.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
068,7,0,0,7,1,0.0,0.0,0.0,0.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
082,2,0,1,1,1,1.0,0.0,1.0,1.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
094,3,0,1,2,1,1.0,0.0,1.0,1.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
098,10,7,3,0,1,10.0,7.0,3.0,10.0,True,False,False,True,supported,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
099,11,10,0,1,1,10.0,10.0,0.0,10.0,True,False,False,True,supported,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
100,20,13,2,5,1,15.0,13.0,2.0,15.0,True,False,False,True,supported,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
109,1,0,0,1,1,0.0,0.0,0.0,0.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
114,6,0,3,3,1,3.0,0.0,3.0,3.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
116,3,0,2,1,1,2.0,0.0,2.0,2.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
123,10,4,2,4,1,6.0,4.0,2.0,6.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
126,9,3,2,4,1,5.0,3.0,2.0,5.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
127,25,17,2,6,1,19.0,17.0,2.0,19.0,True,False,False,True,supported,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
128,7,2,0,5,1,2.0,2.0,0.0,2.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
129,18,15,2,1,1,17.0,15.0,2.0,17.0,True,False,False,True,supported,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
130,55,21,13,21,1,34.0,21.0,13.0,34.0,True,True,True,True,supported,supported,supported
131,8,3,1,4,1,4.0,3.0,1.0,4.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
135,15,5,6,4,1,11.0,5.0,6.0,11.0,True,False,False,True,supported,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
136,11,4,1,6,1,5.0,4.0,1.0,5.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
141,2,0,0,2,1,0.0,0.0,0.0,0.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
168,8,0,8,0,1,8.0,0.0,8.0,8.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
177,6,6,0,0,1,6.0,6.0,0.0,6.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
301,11,3,1,7,1,4.0,3.0,1.0,4.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
305,14,4,3,7,1,7.0,4.0,3.0,7.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
941,2,0,0,2,1,0.0,0.0,0.0,0.0,False,False,False,True,test-fold N < 10,"requires supervised CN/AD N>=15, CN>=3, AD>=3","requires supervised CN/AD N>=20, CN>=5, AD>=5"
