arm,manufacturer,n,n_cn,n_ad,cn_false_positive_rate,sensitivity,specificity,roc_auc,pr_auc,tn,fp,fn,tp
locked,GE,122,101,21,0.1485148514851485,0.47619047619047616,0.8514851485148515,0.7543611504007544,0.3416658180509374,86,15,11,10
locked,Philips,145,99,46,0.45454545454545453,0.782608695652174,0.5454545454545454,0.7272727272727273,0.5708152701926625,54,45,10,36
locked,SIEMENS,130,100,30,0.24,0.8333333333333334,0.76,0.8893333333333334,0.7734941643705922,76,24,5,25
clean_foldwise_input_combat,GE,122,101,21,0.36633663366336633,0.6666666666666666,0.6336633663366337,0.7208863743517208,0.3713833957994329,64,37,7,14
clean_foldwise_input_combat,Philips,145,99,46,0.32323232323232326,0.6956521739130435,0.6767676767676768,0.7296881862099254,0.575258693361338,67,32,14,32
clean_foldwise_input_combat,SIEMENS,130,100,30,0.33,0.8333333333333334,0.67,0.8033333333333333,0.6431021485651254,67,33,5,25
