arm,role,fold,n_cn,n_ad,adni_cn_proj_mean,adni_ad_proj_mean,adni_ad_cn_separation_at_source,oasis_cn_proj_mean,oasis_ad_proj_mean,marginal_shift,cn_shift,ad_shift,ad_cn_projected_separation,cohens_d,projected_auc,clinical_alignment_margin
locked_frozen_transfer,primary,1,90,90,-1.9351720558453096,1.9351720558453092,3.8703441116906188,-2.444220112222813,-1.377157098495372,-1.9106886053590926,-0.5090480563775033,-3.312329154340681,1.0670630137274408,0.5390648722068654,0.6518518518518518,-1.377157098495372
locked_frozen_transfer,primary,2,90,90,-1.920024933380809,1.9200249333808093,3.8400498667616185,-2.2959240052220244,-1.4886710493291246,-1.8922975272755744,-0.3758990718412154,-3.4086959827099337,0.8072529558928998,0.4153410957192772,0.614320987654321,-1.4886710493291246
locked_frozen_transfer,primary,3,90,90,-1.8699573735684607,1.8699573735684605,3.739914747136921,-2.5488474203068128,-1.647718579883612,-2.098283000095212,-0.6788900467383521,-3.5176759534520725,0.9011288404232007,0.46135077722888884,0.6262962962962962,-1.647718579883612
locked_frozen_transfer,primary,4,90,90,-2.0312514790865444,2.0312514790865444,4.062502958173089,-2.829656576269121,-1.7258212216041267,-2.2777388989366236,-0.7984050971825765,-3.757072700690671,1.1038353546649942,0.5788533052697482,0.6508641975308642,-1.7258212216041267
locked_frozen_transfer,primary,5,90,90,-1.795452674444391,1.7954526744443915,3.5909053488887825,-2.034580071199616,-1.1746429751329492,-1.6046115231662825,-0.23912739675522499,-2.970095649577341,0.8599370960666668,0.4803504193065036,0.6296296296296297,-1.1746429751329492
previous_adni_fitted_siemens_combat,primary,1,90,90,-1.9351720558453096,1.9351720558453092,3.8703441116906188,-1.4506207691671171,-0.5996698577954538,-1.0251453134812856,0.48455128667819247,-2.534841913640763,0.8509509113716633,0.5354379952534362,0.6479012345679012,-0.5996698577954538
previous_adni_fitted_siemens_combat,primary,2,90,90,-1.920024933380809,1.9200249333808093,3.8400498667616185,-0.07955710642396974,-0.3635165132788047,-0.2215368098513872,1.8404678269568393,-2.283541446659614,-0.28395940685483495,-0.458654282180299,0.3701234567901235,-0.3635165132788047
previous_adni_fitted_siemens_combat,primary,3,90,90,-1.8699573735684607,1.8699573735684605,3.739914747136921,0.23139137942403773,0.49829189377760424,0.364841636600821,2.1013487529924983,-1.3716654797908563,0.26690051435356654,0.42691092300891065,0.6161728395061727,-0.23139137942403773
previous_adni_fitted_siemens_combat,primary,4,90,90,-2.0312514790865444,2.0312514790865444,4.062502958173089,0.3256947032893624,0.1546790421376771,0.24018687271351974,2.3569461823759066,-1.8765724369488672,-0.1710156611516853,-0.22272463638546436,0.42814814814814817,-0.3256947032893624
previous_adni_fitted_siemens_combat,primary,5,90,90,-1.795452674444391,1.7954526744443915,3.5909053488887825,0.04821139980113338,-0.04886951980110919,-0.00032905999998790805,1.8436640742455244,-1.8443221942455006,-0.09708091960224258,-0.12815631251120696,0.4712345679012346,-0.04886951980110919
