mapping,n_mapped,n_unmapped,n_cdr0,n_cdr05,n_cdr_ge1,n_pairwise_cdr0_vs_ge1,pairwise_auc,pairwise_auc_boot_mean,pairwise_auc_ci_low,pairwise_auc_ci_high,n_boot_valid,spearman_rho_raw,spearman_pvalue_raw,partial_spearman_rho_age_sex_adj,partial_spearman_pvalue_age_sex_adj,mean_abs_day_gap,max_abs_day_gap
A_nearest_180d,169,11,81,51,37,118,0.7297297297297297,0.7308782275608224,0.6288770053475936,0.8240896132646607,10000,0.3112999705174723,3.793646201350182e-05,0.2783787922695639,0.00024755420691437174,77.36094674556213,177.0
B_nearest_365d,180,0,89,52,39,128,0.7093056755978104,0.7092385426590511,0.6073723552303731,0.7998340997567865,10000,0.281578361499654,0.0001285485316106018,0.24385719949547574,0.0009708548721586355,84.75,265.0
C_latest_before_365d,176,4,88,55,33,121,0.724862258953168,0.7246289895535435,0.6214392803598201,0.8199335548172758,10000,0.28281876568527475,0.00014282575102128706,0.23944498892498195,0.0013711701512982627,110.42045454545455,358.0
