arm,role,n_cn,n_ad,adni_cn_proj_mean_ensembled,adni_ad_proj_mean_ensembled,oasis_cn_proj_mean,oasis_ad_proj_mean,marginal_shift,marginal_shift_ci_low,marginal_shift_ci_high,cn_shift,cn_shift_ci_low,cn_shift_ci_high,ad_shift,ad_shift_ci_low,ad_shift_ci_high,ad_cn_projected_separation,ad_cn_sep_ci_low,ad_cn_sep_ci_high,cohens_d,cohens_d_ci_low,cohens_d_ci_high,projected_auc,projected_auc_ci_low,projected_auc_ci_high,clinical_alignment_margin,clinical_alignment_margin_ci_low,clinical_alignment_margin_ci_high
locked_frozen_transfer,primary,90,90,-1.910371703265103,1.9103717032651026,-2.430645637044077,-1.4828021848890371,-1.956723910966557,-2.225168451865102,-1.686632066710665,-0.5202739337789741,-0.8878258877204609,-0.1465484687434507,-3.3931738881541396,-3.7862154717433705,-3.008226786201498,0.9478434521550401,0.4035619544941375,1.479657612355793,0.51630632832695,0.22237101214613494,0.8185053813098543,0.6371604938271604,0.5523425925925926,0.7164197530864198,-1.4828021848890371,-1.8758437684782678,-1.0978550829363958
previous_adni_fitted_siemens_combat,primary,90,90,-1.910371703265103,1.9103717032651026,-0.1849760786153106,-0.07181699099201727,-0.12839653480366392,-0.19600427376063298,-0.06004823529735213,1.7253956246497926,1.6215186606615355,1.8310750469408756,-1.9821886942571199,-2.068648065259694,-1.8942791340367144,0.11315908762329333,-0.024075950943211515,0.25151256265524036,0.24136790538442826,-0.05027499751796296,0.5446273331726983,0.5655555555555556,0.4808611111111111,0.6492592592592592,-0.07181699099201727,-0.15827636199459183,0.016092569228388216
external_dataset_combat_adni_reference,primary,90,90,-1.910371703265103,1.9103717032651026,-1.5057989714136197,-0.47466922315036814,-0.990234097281994,-1.2821268767452039,-0.6980752276725244,0.40457273185148335,0.004524868826803329,0.8119315128737371,-2.3850409264154706,-2.8098361640055805,-1.9738439457533166,1.0311297482632515,0.4359641269571897,1.613733477619728,0.5182193089000486,0.2225516298230049,0.8224201084695321,0.6367901234567901,0.5517283950617284,0.7162993827160493,-0.47466922315036814,-0.8994644607404776,-0.06347224248821384
external_dataset_combat_no_reference,secondary,90,90,-1.910371703265103,1.9103717032651026,-1.885856940361286,-0.8831136443410171,-1.3844852923511515,-1.6687260078707535,-1.0984292656458536,0.024514762903817156,-0.3640023309779209,0.4219770312558565,-2.79348534760612,-3.211996087554168,-2.3884002901113472,1.002743296020269,0.4249738190266951,1.569757437335046,0.5158477198170408,0.21936955972794997,0.8191827703525701,0.6369135802469136,0.5516018518518518,0.7161728395061728,-0.8831136443410171,-1.3016243842890656,-0.47802858684624466
