fold,n,max_abs_diff_raw_score,max_abs_diff_ecdf_score,corr_raw
1,180,4.232393802094947e-08,1.5580905010637025e-07,0.9999999999999993
2,180,3.868889875136006e-09,8.920023929215315e-08,0.9999999999999997
3,180,4.606969028486674e-09,9.339175652267606e-08,0.9999999999999993
4,180,4.748311133173644e-09,2.1486565637829358e-08,1.0
5,180,4.120093100024036e-09,9.246292889675267e-08,0.9999999999999997
