fold,test_n,test_sites_n,evaluated_test_n,site_balanced_accuracy,site_macro_f1,permutation_null_ba_mean,permutation_null_ba_sd,permutation_p_ge_observed,site_centroid_pairwise_distance_mean,pooled_within_site_radius_mean,centroid_distance_over_radius
1,80,31,75,0.10617283950617283,0.07794409430438842,0.062456790123456785,0.027802455374620626,0.13725490196078433,12.576129785570746,11.435194221231788,1.0997740433844645
2,80,35,78,0.17373737373737372,0.14389036316280895,0.05685858585858585,0.02630641300084616,0.0196078431372549,12.41066162902542,10.824068268296411,1.146580132479035
3,79,32,77,0.13277777777777777,0.12201842991316676,0.056577777777777775,0.024274652527976448,0.0196078431372549,12.831034584203794,11.667541162555468,1.0997205328387711
4,79,31,79,0.1801075268817204,0.15698897593634437,0.06420430107526881,0.034265510911475554,0.0196078431372549,13.329705055830676,11.407980031975189,1.168454451924804
5,79,33,73,0.17083333333333334,0.12461741961741962,0.0731547619047619,0.028203425000806408,0.0196078431372549,11.802229903868735,10.820763428470348,1.0907021470237548
