fold,observed_site_ba_existing,observed_site_macro_f1_existing,observed_site_ba_recomputed,observed_site_macro_f1_recomputed,observed_ba_abs_diff,evaluated_test_n,train_n,train_sites_n,test_sites_n,permutation_preserved_strata,n_perm_requested,n_perm_completed,prior_n_perm,prior_p_ge_observed,p_ge_observed_1000,permutation_null_ba_mean_1000,permutation_null_ba_sd_1000,p_resolution,observed_ba_changed
1,0.1061728395061728,0.0779440943043884,0.10617283950617283,0.07794409430438842,2.7755575615628914e-17,75,310,37,27,ResearchGroup_Mapped+Manufacturer,1000,1000,50,0.1372549019607843,0.06293706293706294,0.05866358024691357,0.026989794091612663,0.000999000999000999,False
2,0.1737373737373737,0.1438903631628089,0.17373737373737372,0.14389036316280895,2.7755575615628914e-17,78,312,39,33,ResearchGroup_Mapped+Manufacturer,1000,1000,50,0.0196078431372549,0.000999000999000999,0.05566414141414141,0.02426739835514689,0.000999000999000999,False
3,0.1327777777777777,0.1220184299131667,0.13277777777777777,0.12201842991316676,8.326672684688674e-17,77,315,40,30,ResearchGroup_Mapped+Manufacturer,1000,1000,50,0.0196078431372549,0.004995004995004995,0.05919,0.024663921000574487,0.000999000999000999,False
4,0.1801075268817204,0.1569889759363443,0.1801075268817204,0.15698897593634437,0.0,79,315,41,31,ResearchGroup_Mapped+Manufacturer,1000,1000,50,0.0196078431372549,0.000999000999000999,0.05738870967741936,0.02640398545664142,0.000999000999000999,False
5,0.1708333333333333,0.1246174196174196,0.17083333333333334,0.12461741961741962,2.7755575615628914e-17,73,315,38,28,ResearchGroup_Mapped+Manufacturer,1000,1000,50,0.0196078431372549,0.003996003996003996,0.06629821428571428,0.031960854375491766,0.000999000999000999,False
