result,n_or_folds,primary_value,secondary_value,metric,source_policy
manufacturer latent decodability,5,0.66586,0.05062018372151567,"matched fold-local 5-NN balanced accuracy mean, SD",primary estimate selected for direct SiteCode comparison
site latent decodability,5,0.15272577024727557,0.03195398911981759,"fold-local SiteCode balanced accuracy mean, SD",observed BA unchanged; p-values rerun with 1000 permutations
locked ADNI diagnostic performance,397,0.7951546391752577,0.573933621970083,"ROC-AUC, PR-AUC",final selected StageB OOF-ECDF primary convention
fold-wise input-ComBat performance,397,0.7780756013745704,0.5499357661948471,"ROC-AUC, PR-AUC",existing foldwise input-ComBat StageB OOF-ECDF
leave-one-site-out summary,2,0.6975824175824177,0.5774668387168387,"mean supported-site ROC-AUC, PR-AUC",classifier/readout transport on frozen latent representations
OASIS external performance,180,0.6477777777777778,0.6678376160483931,"runwise164 one-row-per-subject ROC-AUC, PR-AUC",one ensemble row per subject/session
ADNI-OASIS Wasserstein distance,5,0.34888601472827735,11.624956298928065,"mean sliced W, mean Gaussian Bures-W",existing fold-local ADNI trainDev to OASIS latent distance
