arm,fold,n_adni_trainDev,n_oasis,residualization,w1_mean_all_dims,pca10_w1_mean,gaussian_w2,lw_shrinkage_adni,lw_shrinkage_oasis
locked,1,317,180,diagnosis_y_only_OLS_fit_ADNI_trainDev,0.3473746085009828,0.9610633074980706,11.544421239549406,0.3190708719200707,0.18873574028960646
locked,2,317,180,diagnosis_y_only_OLS_fit_ADNI_trainDev,0.3597796013351598,0.9752745145545528,11.790578058911182,0.31202487264874673,0.17004434469650626
locked,3,318,180,diagnosis_y_only_OLS_fit_ADNI_trainDev,0.34134772644472805,1.031765616452954,11.551306535382675,0.30914109131586237,0.1811300809652594
locked,4,318,180,diagnosis_y_only_OLS_fit_ADNI_trainDev,0.3547652268676515,0.9521466181549423,11.608997045550906,0.294846625301459,0.1761699888501187
locked,5,318,180,diagnosis_y_only_OLS_fit_ADNI_trainDev,0.36418050005482944,0.9949252226214993,11.881866763505359,0.32875795766564253,0.1790918454687378
clean_foldwise_input_combat,1,317,180,diagnosis_y_only_OLS_fit_ADNI_trainDev,0.3462136787445609,1.0171161112341711,11.385048654977702,0.30454702419067603,0.18607150065289826
clean_foldwise_input_combat,2,317,180,diagnosis_y_only_OLS_fit_ADNI_trainDev,0.3436604973538045,1.0184639484894396,11.345634448003803,0.279842448595947,0.17568292068504668
clean_foldwise_input_combat,3,318,180,diagnosis_y_only_OLS_fit_ADNI_trainDev,0.35531916214945,1.0188851527081153,11.634410248033056,0.3052391352784201,0.1747841322455179
clean_foldwise_input_combat,4,318,180,diagnosis_y_only_OLS_fit_ADNI_trainDev,0.3530169298850047,0.9187771986790703,11.640843569690666,0.2956442687360182,0.17045287512605053
clean_foldwise_input_combat,5,318,180,diagnosis_y_only_OLS_fit_ADNI_trainDev,0.35379803736350285,1.0649586067888035,11.644592662684868,0.3155951106072941,0.18173334017914303
