domain,arm,scope,n,n_cn,n_ad,roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier_score,tn,fp,fn,tp
ADNI_internal,locked,pooled_outer_fold_predictions,397,300,97,0.7951546391752577,0.5739336219700828,0.7259793814432989,0.7319587628865979,0.72,0.5634920634920635,0.2246637189405855,216,84,26,71
ADNI_internal,clean_foldwise_input_combat,pooled_outer_fold_predictions,397,300,97,0.7492783505154639,0.532701369454467,0.695979381443299,0.7319587628865979,0.66,0.5259259259259259,0.24319826031626718,198,102,26,71
OASIS_external,locked,,180,90,90,0.6477777777777778,0.6678376160483931,0.5666666666666667,0.26666666666666666,0.8666666666666667,0.38095238095238093,0.25811285279728746,78,12,66,24
OASIS_external,clean_foldwise_input_combat,,180,90,90,0.6460493827160495,0.6478341683402,0.5833333333333333,0.34444444444444444,0.8222222222222222,0.45255474452554745,0.2574862864089982,74,16,59,31
