metric,comparison,locked,clean_foldwise_input_combat,observed_delta,bootstrap_mean_delta,ci_low_2p5,ci_high_97p5,p_delta_gt_0,n_bootstrap,seed
roc_auc,clean_foldwise_input_combat_minus_locked,0.7951546391752577,0.7492783505154639,-0.045876288659793873,-0.045776453608247426,-0.08068814432989697,-0.011751718213058478,0.0048,10000,20260706
pr_auc,clean_foldwise_input_combat_minus_locked,0.5739336219700828,0.532701369454467,-0.0412322525156158,-0.043092231234303176,-0.11511945873219395,0.026607661741674726,0.1156,10000,20260706
balanced_accuracy,clean_foldwise_input_combat_minus_locked,0.7259793814432989,0.695979381443299,-0.029999999999999916,-0.029926199312714778,-0.07395575601374575,0.013058419243986211,0.0872,10000,20260706
sensitivity,clean_foldwise_input_combat_minus_locked,0.7319587628865979,0.7319587628865979,0.0,4.2268041237113465e-05,-0.07216494845360821,0.07216494845360821,0.4446,10000,20260706
specificity,clean_foldwise_input_combat_minus_locked,0.72,0.66,-0.05999999999999994,-0.05989466666666666,-0.10666666666666669,-0.010000000000000009,0.006,10000,20260706
brier_score,clean_foldwise_input_combat_minus_locked,0.2246637189405855,0.24319826031626718,0.018534541375681668,0.018470013287101232,0.0031395216050225444,0.03372092213605192,0.9898,10000,20260706
