fold,selected_checkpoint_epoch,terminal_epoch,selected_validation_objective,selected_train_reconstruction,selected_train_kl,selected_val_reconstruction,selected_val_kl,selected_val_beta_kld_over_recon,active_latent_units_var_gt_1e_minus_4,learning_rate_start_first,learning_rate_start_selected,learning_rate_end_last,historical_selected_checkpoint_epoch,historical_terminal_epoch,historical_selected_validation_objective,selected_epoch_reproduced,terminal_epoch_reproduced,validation_loss_reproduced_allclose
1,2879,3439,33927.23629305656,29062.12444812362,293.7609324339473,33063.43777412281,230.34627171566612,0.026125490181477806,384,0.0001,6.731205773015115e-07,5.485419555547426e-07,2879,3439,33927.23629305656,True,True,True
2,3187,3747,33440.057004560505,29317.83692915287,302.0811079753682,32559.139322916668,234.91138177168997,0.027055926537462426,384,0.0001,7.959261605527622e-06,6.963172192341611e-06,3187,3747,33440.057004560505,True,True,True
3,2542,3102,33871.654753233255,29374.088802656937,292.2652879622539,33045.65707236842,220.26604823062294,0.02499565008061242,384,0.0001,1.3883664382392028e-05,1.2578859886302395e-05,2542,3102,33871.654753233255,True,True,True
4,2954,3514,33644.976917266846,29125.56691389042,293.1686043760325,32798.77138157895,225.6548095167729,0.025799915668888746,384,0.0001,2.4347169984065303e-06,1.932188681984244e-06,2954,3514,33644.976917266846,True,True,True
5,3360,3920,34112.78925423873,28679.802527877204,293.10282138370735,33273.09539473684,223.91836253383704,0.025236421485291455,384,0.0001,5.485419555547426e-07,5.005993796789697e-07,3360,3920,34112.78925423873,True,True,True
